PIN,Address,City,Zip,SaleDate,SaleAmount,Grantee,Folio
U-25-27-17-941-000000-00002.0,Parcel U-25-27-17-941-000000-00002.0,Tampa,FL,2025-10-10,1250000.0,N/A,0024515194
U-25-27-17-A8B-000000-00008.0,Parcel U-25-27-17-A8B-000000-00008.0,Tampa,FL,2025-06-13,850000.0,N/A,0024515346
U-25-27-17-A8B-000000-00013.0,Parcel U-25-27-17-A8B-000000-00013.0,Tampa,FL,2025-08-15,2175000.0,N/A,0024515356
U-25-27-17-A8B-000000-00014.0,Parcel U-25-27-17-A8B-000000-00014.0,Tampa,FL,2025-09-30,2750000.0,N/A,0024515358
U-26-27-17-ZZZ-000000-19570.0,Parcel U-26-27-17-ZZZ-000000-19570.0,Tampa,FL,2025-03-13,305000.0,N/A,0024810100
U-26-27-17-5XS-000000-00019.0,Parcel U-26-27-17-5XS-000000-00019.0,Tampa,FL,2025-02-28,3395000.0,N/A,0025507638
U-29-27-17-D4J-000000-00159.0,Parcel U-29-27-17-D4J-000000-00159.0,Tampa,FL,2025-12-04,500000.0,N/A,0025950328
U-29-27-17-D4J-000000-00159.0,Parcel U-29-27-17-D4J-000000-00159.0,Tampa,FL,2025-12-04,450000.0,N/A,0025950328
U-28-27-17-ZZZ-000000-21130.0,Parcel U-28-27-17-ZZZ-000000-21130.0,Tampa,FL,2025-06-24,1500000.0,N/A,0026220100
U-33-27-17-ZZZ-000000-21330.0,Parcel U-33-27-17-ZZZ-000000-21330.0,Tampa,FL,2025-10-31,1225000.0,N/A,0026380200
U-28-27-17-5Z0-000001-00001.1,Parcel U-28-27-17-5Z0-000001-00001.1,Tampa,FL,2025-10-30,1050000.0,N/A,0026381102
U-28-27-17-5Z0-000003-00005.1,Parcel U-28-27-17-5Z0-000003-00005.1,Tampa,FL,2025-12-01,1215000.0,N/A,0026381144
U-28-27-17-5Z0-000003-00006.1,Parcel U-28-27-17-5Z0-000003-00006.1,Tampa,FL,2025-05-27,1250000.0,N/A,0026381146
U-28-27-17-86C-000002-00017.0,Parcel U-28-27-17-86C-000002-00017.0,Tampa,FL,2025-05-30,1180000.0,N/A,0026383006
U-28-27-17-024-000000-00004.0,Parcel U-28-27-17-024-000000-00004.0,Tampa,FL,2025-09-30,535000.0,N/A,0026387008
U-30-27-17-ZZZ-000000-21760.0,Parcel U-30-27-17-ZZZ-000000-21760.0,Tampa,FL,2025-03-10,6750000.0,N/A,0026770200
U-30-27-17-026-000000-00033.0,Parcel U-30-27-17-026-000000-00033.0,Tampa,FL,2025-06-09,755000.0,N/A,0026770354
U-30-27-17-026-000000-00035.0,Parcel U-30-27-17-026-000000-00035.0,Tampa,FL,2025-07-31,625000.0,N/A,0026770356
U-30-27-17-026-000000-00038.0,Parcel U-30-27-17-026-000000-00038.0,Tampa,FL,2025-11-05,733000.0,N/A,0026770359
U-30-27-17-026-000000-00038.0,Parcel U-30-27-17-026-000000-00038.0,Tampa,FL,2025-02-19,612000.0,N/A,0026770359
U-30-27-17-026-000000-00058.0,Parcel U-30-27-17-026-000000-00058.0,Tampa,FL,2025-10-10,745000.0,N/A,0026770379
U-30-27-17-026-000000-00060.0,Parcel U-30-27-17-026-000000-00060.0,Tampa,FL,2025-11-12,825000.0,N/A,0026770381
U-30-27-17-026-000000-00060.0,Parcel U-30-27-17-026-000000-00060.0,Tampa,FL,2025-06-02,740000.0,N/A,0026770381
U-30-27-17-028-B00000-00036.0,Parcel U-30-27-17-028-B00000-00036.0,Tampa,FL,2025-09-26,462000.0,N/A,0026801044
U-30-27-17-028-D00000-00011.0,Parcel U-30-27-17-028-D00000-00011.0,Tampa,FL,2025-03-06,860000.0,N/A,0026801118
U-30-27-17-028-J00000-00004.0,Parcel U-30-27-17-028-J00000-00004.0,Tampa,FL,2025-07-21,965000.0,N/A,0026801136
U-30-27-17-028-Q00000-00025.0,Parcel U-30-27-17-028-Q00000-00025.0,Tampa,FL,2025-06-27,965000.0,N/A,0026801228
U-30-27-17-028-R00000-00002.0,Parcel U-30-27-17-028-R00000-00002.0,Tampa,FL,2025-12-09,1290000.0,N/A,0026801242
U-30-27-17-028-T00000-00017.0,Parcel U-30-27-17-028-T00000-00017.0,Tampa,FL,2025-02-07,1010000.0,N/A,0026801316
U-30-27-17-029-A00000-00006.0,Parcel U-30-27-17-029-A00000-00006.0,Tampa,FL,2025-07-21,595000.0,N/A,0026801612
U-30-27-17-029-A00000-00012.0,Parcel U-30-27-17-029-A00000-00012.0,Tampa,FL,2025-08-28,599900.0,N/A,0026801624
U-30-27-17-029-A00000-00012.0,Parcel U-30-27-17-029-A00000-00012.0,Tampa,FL,2025-05-02,500000.0,N/A,0026801624
U-30-27-17-029-A00000-00045.0,Parcel U-30-27-17-029-A00000-00045.0,Tampa,FL,2025-03-27,625000.0,N/A,0026801690
U-31-27-17-029-A00000-00054.0,Parcel U-31-27-17-029-A00000-00054.0,Tampa,FL,2025-06-09,515000.0,N/A,0026801708
U-31-27-17-029-C00000-00002.0,Parcel U-31-27-17-029-C00000-00002.0,Tampa,FL,2025-04-17,575000.0,N/A,0026801748
U-30-27-17-029-C00000-00021.0,Parcel U-30-27-17-029-C00000-00021.0,Tampa,FL,2025-05-30,639000.0,N/A,0026801786
U-30-27-17-029-C00000-00035.0,Parcel U-30-27-17-029-C00000-00035.0,Tampa,FL,2025-08-22,569000.0,N/A,0026801814
U-31-27-17-029-C00000-00041.0,Parcel U-31-27-17-029-C00000-00041.0,Tampa,FL,2025-07-16,540000.0,N/A,0026801826
U-31-27-17-029-C00000-00058.0,Parcel U-31-27-17-029-C00000-00058.0,Tampa,FL,2025-05-05,824000.0,N/A,0026801860
U-30-27-17-02A-B00000-00002.0,Parcel U-30-27-17-02A-B00000-00002.0,Tampa,FL,2025-11-19,725000.0,N/A,0026802246
U-30-27-17-02B-000000-00017.0,Parcel U-30-27-17-02B-000000-00017.0,Tampa,FL,2025-10-06,445000.0,N/A,0026803034
U-30-27-17-02B-000000-00024.0,Parcel U-30-27-17-02B-000000-00024.0,Tampa,FL,2025-11-07,417900.0,N/A,0026803048
U-30-27-17-02B-000000-00024.0,Parcel U-30-27-17-02B-000000-00024.0,Tampa,FL,2025-07-14,330000.0,N/A,0026803048
U-30-27-17-02B-000000-00032.0,Parcel U-30-27-17-02B-000000-00032.0,Tampa,FL,2025-02-27,435600.0,N/A,0026803064
U-30-27-17-02B-000000-00040.0,Parcel U-30-27-17-02B-000000-00040.0,Tampa,FL,2025-08-22,355000.0,N/A,0026803080
U-30-27-17-02B-000000-00061.0,Parcel U-30-27-17-02B-000000-00061.0,Tampa,FL,2025-10-24,472000.0,N/A,0026803122
U-30-27-17-02D-D00000-00011.0,Parcel U-30-27-17-02D-D00000-00011.0,Tampa,FL,2025-10-15,715000.0,N/A,0026813922
U-31-27-17-02D-E00000-00015.0,Parcel U-31-27-17-02D-E00000-00015.0,Tampa,FL,2025-10-29,740000.0,N/A,0026814032
U-30-27-17-02E-G00000-00049.0,Parcel U-30-27-17-02E-G00000-00049.0,Tampa,FL,2025-03-28,739000.0,N/A,0026814134
U-30-27-17-02E-G00000-00076.0,Parcel U-30-27-17-02E-G00000-00076.0,Tampa,FL,2025-07-15,763500.0,N/A,0026814188
U-30-27-17-02E-I00000-00001.0,Parcel U-30-27-17-02E-I00000-00001.0,Tampa,FL,2025-05-06,590000.0,N/A,0026814260
U-30-27-17-02E-I00000-00001.0,Parcel U-30-27-17-02E-I00000-00001.0,Tampa,FL,2025-02-14,480000.0,N/A,0026814260
U-30-27-17-02E-I00000-00018.0,Parcel U-30-27-17-02E-I00000-00018.0,Tampa,FL,2025-06-10,630000.0,N/A,0026814294
U-30-27-17-02E-J00000-00059.0,Parcel U-30-27-17-02E-J00000-00059.0,Tampa,FL,2025-10-15,825000.0,N/A,0026814360
U-30-27-17-5S9-000001-00008.0,Parcel U-30-27-17-5S9-000001-00008.0,Tampa,FL,2025-11-03,749000.0,N/A,0026814516
U-30-27-17-9YA-000000-00007.0,Parcel U-30-27-17-9YA-000000-00007.0,Tampa,FL,2025-09-05,912500.0,N/A,0026814654
U-30-27-17-9YA-000000-00018.0,Parcel U-30-27-17-9YA-000000-00018.0,Tampa,FL,2025-02-28,1350000.0,N/A,0026814676
U-31-27-17-02F-A00000-00023.0,Parcel U-31-27-17-02F-A00000-00023.0,Tampa,FL,2025-05-01,647000.0,N/A,0026820146
U-31-27-17-02F-B00000-00008.0,Parcel U-31-27-17-02F-B00000-00008.0,Tampa,FL,2025-06-17,700000.0,N/A,0026820192
U-31-27-17-02F-E00000-00020.0,Parcel U-31-27-17-02F-E00000-00020.0,Tampa,FL,2025-08-11,815000.0,N/A,0026820334
U-31-27-17-02F-F00000-00007.0,Parcel U-31-27-17-02F-F00000-00007.0,Tampa,FL,2025-01-23,645000.0,N/A,0026820348
U-31-27-17-02F-F00000-00008.0,Parcel U-31-27-17-02F-F00000-00008.0,Tampa,FL,2025-11-14,675000.0,N/A,0026820350
U-31-27-17-02H-C00000-00079.0,Parcel U-31-27-17-02H-C00000-00079.0,Tampa,FL,2025-08-15,500000.0,N/A,0026820816
U-31-27-17-02H-E00000-00009.0,Parcel U-31-27-17-02H-E00000-00009.0,Tampa,FL,2025-03-21,550000.0,N/A,0026820858
U-31-27-17-02H-E00000-00032.0,Parcel U-31-27-17-02H-E00000-00032.0,Tampa,FL,2025-05-27,532500.0,N/A,0026820904
U-31-27-17-02H-E00000-00033.0,Parcel U-31-27-17-02H-E00000-00033.0,Tampa,FL,2025-02-26,875000.0,N/A,0026820906
U-31-27-17-02I-F00000-00054.0,Parcel U-31-27-17-02I-F00000-00054.0,Tampa,FL,2025-05-05,895000.0,N/A,0026821144
U-30-27-17-02J-G00000-00027.0,Parcel U-30-27-17-02J-G00000-00027.0,Tampa,FL,2025-05-23,660000.0,N/A,0026821254
U-31-27-17-02K-I00000-00006.0,Parcel U-31-27-17-02K-I00000-00006.0,Tampa,FL,2025-11-26,730000.0,N/A,0026821412
U-31-27-17-02K-J00000-00003.0,Parcel U-31-27-17-02K-J00000-00003.0,Tampa,FL,2025-03-31,599900.0,N/A,0026821442
U-31-27-17-02K-J00000-00012.0,Parcel U-31-27-17-02K-J00000-00012.0,Tampa,FL,2025-09-29,715000.0,N/A,0026821460
